id,Algoritmo,N,X_inicial,Y_inicial,Tiempo_Execucion,existeSolucion,Nodos_Explorados,Camino_Encontrado
39,Backtracking,5,2,4,0.30472069999996165,True,178319,"[((2, 4), (0, 3)), ((0, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (4, 2)), ((4, 2), (3, 4)), ((3, 4), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 2)), ((2, 2), (4, 3)), ((4, 3), (3, 1)), ((3, 1), (1, 0)), ((1, 0), (0, 2)), ((0, 2), (1, 4)), ((1, 4), (3, 3)), ((3, 3), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (0, 0)), ((0, 0), (2, 1)), ((2, 1), (4, 0))]"
40,Backtracking,5,3,0,3.1898032000008243,False,1829420,[]
41,Backtracking,5,3,1,0.0843349999995553,True,51116,"[((3, 1), (4, 3)), ((4, 3), (2, 4)), ((2, 4), (0, 3)), ((0, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (4, 2)), ((4, 2), (3, 4)), ((3, 4), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 2)), ((2, 2), (1, 0)), ((1, 0), (0, 2)), ((0, 2), (1, 4)), ((1, 4), (3, 3)), ((3, 3), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (0, 0)), ((0, 0), (2, 1)), ((2, 1), (4, 0))]"
42,Backtracking,5,3,2,1.7098327000003337,False,1028892,[]
43,Backtracking,5,3,3,0.14603560000068683,True,86208,"[((3, 3), (1, 4)), ((1, 4), (0, 2)), ((0, 2), (1, 0)), ((1, 0), (3, 1)), ((3, 1), (4, 3)), ((4, 3), (2, 4)), ((2, 4), (0, 3)), ((0, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (4, 2)), ((4, 2), (3, 4)), ((3, 4), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 2)), ((2, 2), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (0, 0)), ((0, 0), (2, 1)), ((2, 1), (4, 0))]"
44,Backtracking,5,3,4,3.0712604000000283,False,1829420,[]
45,Backtracking,5,4,0,6.290000055741984e-05,True,40,"[((4, 0), (3, 2)), ((3, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (3, 3)), ((3, 3), (1, 4)), ((1, 4), (0, 2)), ((0, 2), (1, 0)), ((1, 0), (3, 1)), ((3, 1), (4, 3)), ((4, 3), (2, 4)), ((2, 4), (0, 3)), ((0, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (4, 2)), ((4, 2), (3, 4)), ((3, 4), (2, 2)), ((2, 2), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (0, 1)), ((0, 1), (1, 3)), ((1, 3), (2, 1)), ((2, 1), (0, 0))]"
46,Backtracking,5,4,1,3.067702600001212,False,1829420,[]
47,Backtracking,5,4,2,0.06152069999916421,True,36213,"[((4, 2), (3, 4)), ((3, 4), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 2)), ((2, 2), (3, 0)), ((3, 0), (1, 1)), ((1, 1), (0, 3)), ((0, 3), (2, 4)), ((2, 4), (4, 3)), ((4, 3), (3, 1)), ((3, 1), (1, 0)), ((1, 0), (0, 2)), ((0, 2), (1, 4)), ((1, 4), (3, 3)), ((3, 3), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (0, 0)), ((0, 0), (2, 1)), ((2, 1), (4, 0))]"
48,Backtracking,5,4,3,3.0931801999995514,False,1829420,[]
49,Backtracking,5,4,4,0.00042860000030486844,True,287,"[((4, 4), (2, 3)), ((2, 3), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (3, 3)), ((3, 3), (1, 4)), ((1, 4), (0, 2)), ((0, 2), (1, 0)), ((1, 0), (3, 1)), ((3, 1), (4, 3)), ((4, 3), (2, 4)), ((2, 4), (0, 3)), ((0, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (4, 2)), ((4, 2), (3, 4)), ((3, 4), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 2)), ((2, 2), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 0)), ((4, 0), (2, 1)), ((2, 1), (0, 0))]"
50,Backtracking,6,0,0,0.4261365000002115,True,248168,"[((0, 0), (2, 1)), ((2, 1), (4, 2)), ((4, 2), (5, 4)), ((5, 4), (3, 5)), ((3, 5), (1, 4)), ((1, 4), (0, 2)), ((0, 2), (2, 3)), ((2, 3), (4, 4)), ((4, 4), (2, 5)), ((2, 5), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (2, 4)), ((2, 4), (0, 5)), ((0, 5), (1, 3)), ((1, 3), (0, 1)), ((0, 1), (2, 0)), ((2, 0), (4, 1)), ((4, 1), (5, 3)), ((5, 3), (4, 5)), ((4, 5), (3, 3)), ((3, 3), (5, 2)), ((5, 2), (4, 0)), ((4, 0), (3, 2)), ((3, 2), (1, 1)), ((1, 1), (0, 3)), ((0, 3), (1, 5)), ((1, 5), (3, 4)), ((3, 4), (5, 5)), ((5, 5), (4, 3)), ((4, 3), (5, 1)), ((5, 1), (3, 0)), ((3, 0), (2, 2)), ((2, 2), (1, 0)), ((1, 0), (3, 1)), ((3, 1), (5, 0))]"
51,Backtracking,6,0,1,4.464654699999301,True,2617588,"[((0, 1), (2, 2)), ((2, 2), (4, 3)), ((4, 3), (5, 5)), ((5, 5), (3, 4)), ((3, 4), (1, 5)), ((1, 5), (0, 3)), ((0, 3), (2, 4)), ((2, 4), (0, 5)), ((0, 5), (1, 3)), ((1, 3), (2, 5)), ((2, 5), (0, 4)), ((0, 4), (1, 2)), ((1, 2), (0, 0)), ((0, 0), (2, 1)), ((2, 1), (4, 2)), ((4, 2), (5, 0)), ((5, 0), (3, 1)), ((3, 1), (1, 0)), ((1, 0), (0, 2)), ((0, 2), (1, 4)), ((1, 4), (3, 5)), ((3, 5), (5, 4)), ((5, 4), (3, 3)), ((3, 3), (4, 5)), ((4, 5), (5, 3)), ((5, 3), (4, 1)), ((4, 1), (2, 0)), ((2, 0), (3, 2)), ((3, 2), (4, 0)), ((4, 0), (5, 2)), ((5, 2), (4, 4)), ((4, 4), (2, 3)), ((2, 3), (1, 1)), ((1, 1), (3, 0)), ((3, 0), (5, 1))]"
